original_name,employer_alt_name,search_term,outsourcing,top_outsourcing,employee_count,in_market_cap_data,employer,tech,notes
SK Hynix,,hynix,0,0,7765,1,SK Hynix,,
MediaTek,,mediatek,0,0,7421,1,MediaTek,,
IQVIA,,iqvia,0,0,,1,IQVIA,,
Fidelity National Information Services,,fidelity national,0,0,,1,Fidelity National Information Services,,
Hewlett Packard Enterprise,,hewlett.packard,0,0,,1,Hewlett Packard Enterprise,,
Palantir,,palantir,0,0,,1,Palantir,,
Mobileye,,mobileye,0,0,,1,Mobileye,,
Dynatrace,,dynatrace,0,0,,1,Dynatrace,,
UiPath,,uipath,0,0,,1,UiPath,,
SentinelOne,,sentinelone,0,0,,1,SentinelOne,,
Tempus AI,,tempus,0,0,,1,Tempus AI,,
Darktrace,,darktrace,0,0,,1,Darktrace,,
Aurora Innovation,,aurora innovation,0,0,,1,Aurora Innovation,,
C3 AI,,^c3\b,0,0,,1,C3 AI,,
Presight AI,,presight ai,0,0,,1,Presight AI,,
ODDITY Tech,,oddity tech,0,0,,1,ODDITY Tech,,
Upstart,,upstart,0,0,,1,Upstart,,
Recursion Pharmaceuticals,,recursion pharm,0,0,,1,Recursion Pharmaceuticals,,
Bayanat AI,,bayanat ai,0,0,,1,Bayanat AI,,
SoundHound AI,,soundhound,0,0,,1,SoundHound AI,,
PROS,,^pros inc,0,0,,1,PROS,,
iLearningEngines,,ileaningengines,0,0,,1,iLearningEngines,,
Exscientia,,exscientia,0,0,,1,Exscientia,,
Innodata,,innodata,0,0,,1,Innodata,,
Nano-X Imaging,,nano[\s|-]x,0,0,,1,Nano-X Imaging,,
NWTN Inc.,,nwtn,0,0,,1,NWTN Inc.,,
BigBear.ai,,bigbear,0,0,,1,BigBear.ai,,
stem,,^stem inc,0,0,,1,stem,,
Lucas GC,,lucas gc,0,0,,1,Lucas GC,,
Cerence,,cerence,0,0,,1,Cerence,,
Zenvia,,zenvia,0,0,,1,Zenvia,,
Semantix,,semantix,0,0,,1,Semantix,,
authID,,authid,0,0,,1,authID,,
Airship AI,,airship ai,0,0,,1,Airship AI,,
Serve Robotics,,serve robotics,0,0,,1,Serve Robotics,,
Baijiayun Group,,baijiayun,0,0,,1,Baijiayun Group,,
Appen,,^appen\b$,0,0,,1,Appen,,
Semilux International,,semilux,0,0,,1,Semilux International,,
reAlpha Tech,,realpha,0,0,,1,reAlpha Tech,,
Bigtincan,,bigtincan,0,0,,1,Bigtincan,,
Lantern Pharma,,lantern pharma,0,0,,1,Lantern Pharma,,
One Stop Systems,,one stop systems,0,0,,1,One Stop Systems,,
Xiao-I,,xiao[\s|-]i,0,0,,1,Xiao-I,,
Knightscope,,knightscope,0,0,,1,Knightscope,,
Duos Technologies Group,,duos tech,0,0,,1,Duos Technologies Group,,
Presto Automation,,presto automation,0,0,,1,Presto Automation,,
Bullfrog AI,,bullfrog ai,0,0,,1,Bullfrog AI,,
SIMPPLE,,simpple,0,0,,1,SIMPPLE,,
"Fr8Tech 
 (Freight Technologies)",,fr8,0,0,,1,"Fr8Tech 
 (Freight Technologies)",,
Jet.AI,,jet\.ai,0,0,,1,Jet.AI,,
ASE Group,Taiwan,^ase group,0,0,,1,ASE Group,,
Amkor Technology,United States,amkor tech,0,0,,1,Amkor Technology,,
Coherent,United States,coherent [inc|corp|tech],0,0,,1,Coherent,,
Vishay Intertechnology,United States,vishay intertechnology,0,0,,1,Vishay Intertechnology,,
Rohm,Japan,rohm semiconductor,0,0,,1,Rohm,,
SMIC,China,^SMIC\b,0,0,,1,SMIC,,
United Microelectronics,Taiwan,united microelectronics,0,0,,1,United Microelectronics,,
AT&S Austria Technologie & Systemtechnik,Austria,austria tech,0,0,,1,AT&S Austria Technologie & Systemtechnik,,
ASM Pacific Technology,Hong Kong,asm pacific,0,0,,1,ASM Pacific Technology,,
Skyworks Solutions,United States,skyworks solutions,0,0,,1,Skyworks Solutions,,
Entegris,United States,entegris,0,0,,1,Entegris,,
Qorvo,United States,qorvo,0,0,,1,Qorvo,,
UCT (Ultra Clean Holdings),United States,ultra clean,0,0,,1,UCT (Ultra Clean Holdings),,
Advantest,Japan,advantest,0,0,,1,Advantest,,
Arm Holdings,United Kingdom,\barm\b holdings,0,0,,1,Arm Holdings,,
Tower Semiconductor,Israel,tower semi,0,0,,1,Tower Semiconductor,,
Wolfspeed,United States,wolfspeed,0,0,,1,Wolfspeed,,
Allegro MicroSystems,United States,allegro microsystems,0,0,,1,Allegro MicroSystems,,
Disco Corp.,Japan,disco corp,0,0,,1,Disco Corp.,,
Siltronic,Germany,siltronic,0,0,,1,Siltronic,,
X-FAB,Belgium,^x[\s|-]fab,0,0,,1,X-FAB,,
Cohu,United States,\bcohu\b,0,0,,1,Cohu,,
SMART Global Holdings,United States,^smart global,0,0,,1,SMART Global Holdings,,
Kulicke and Soffa Industries,Singapore,kulicke,0,0,,1,Kulicke and Soffa Industries,,
Alpha & Omega Semiconductor,United States,alpha and omega|alpha & omega,0,0,,1,Alpha & Omega Semiconductor,,
Ichor Systems,United States,^ichor,0,0,,1,Ichor Systems,,
Semtech,United States,semtech,0,0,,1,Semtech,,
Himax,Taiwan,himax,0,0,,1,Himax,,
Technoprobe,Italy,technoprobe,0,0,,1,Technoprobe,,
FormFactor,United States,formfactor,0,0,,1,FormFactor,,
Xperi,United States,\bxperi\b,0,0,,1,Xperi,,
Melexis NV,Belgium,melexis,0,0,,1,Melexis NV,,
Soitec,France,soitec,0,0,,1,Soitec,,
Silicon Labs,United States,silicon labs,0,0,,1,Silicon Labs,,
Photronics,United States,photronics,0,0,,1,Photronics,,
BE Semiconductor,Netherlands,be semiconductor,0,0,,1,BE Semiconductor,,
Silicon Motion,Hong Kong,silicon motion,0,0,,1,Silicon Motion,,
Cirrus Logic,United States,cirrus logic,0,0,,1,Cirrus Logic,,
Onto Innovation,United States,onto innovation,0,0,,1,Onto Innovation,,
AXT Inc,United States,^axt inc,0,0,,1,AXT Inc,,
MACOM,United States,^macom [conn|tech],0,0,,1,MACOM,,
Nordic Semiconductor,Norway,nordic semi,0,0,,1,Nordic Semiconductor,,
VisEra Technologies,Taiwan,visera,0,0,,1,VisEra Technologies,,
Axcelis Technologies,United States,^axcelis tech,0,0,,1,Axcelis Technologies,,
AMEC,China,^amec$,0,0,,1,AMEC,,
u-blox,Switzerland,u[\s|-]blox,0,0,,1,u-blox,,
Maruwa,Japan,maruwa,0,0,,1,Maruwa,,
Veeco,United States,veeco,0,0,,1,Veeco,,
ACM Research,United States,acm research,0,0,,1,ACM Research,,
Nova Measuring Instruments,Israel,nova measuring instruments,0,0,,1,Nova Measuring Instruments,,
Aixtron,Germany,aixtron,0,0,,1,Aixtron,,
nLIGHT,United States,^nlight,0,0,,1,nLIGHT,,
Lattice Semiconductor,United States,lattice semi,0,0,,1,Lattice Semiconductor,,
Ambarella,United States,ambarella,0,0,,1,Ambarella,,
Magnachip,Luxembourg,magnachip,0,0,,1,Magnachip,,
Lasertec,Japan,lasertec,0,0,,1,Lasertec,,
Power Integrations,United States,power integrations,0,0,,1,Power Integrations,,
SkyWater Technology,United States,skywalker tech,0,0,,1,SkyWater Technology,,
indie Semiconductor,United States,indie semi,0,0,,1,indie Semiconductor,,
Espressif Systems (Shanghai),China,espressif,0,0,,1,Espressif Systems (Shanghai),,
CEVA,United States,ceva inc,0,0,,1,CEVA,,
PDF Solutions,United States,pdf solutions,0,0,,1,PDF Solutions,,
Camtek,Israel,camtek,0,0,,1,Camtek,,
Credo Technology,United States,credo semi,0,0,,1,Credo Technology,,
SiTime,United States,sitime,0,0,,1,SiTime,,
inTEST Corporation,United States,\bintest\b,0,0,,1,inTEST Corporation,,
Valens Semiconductor,Israel,valens semi,0,0,,1,Valens Semiconductor,,
eMemory Technology,Taiwan,ememory,0,0,,1,eMemory Technology,,
Sequans Communications,France,sequans,0,0,,1,Sequans Communications,,
Arteris,United States,arteris,0,0,,1,Arteris,,
Navitas Semiconductor,Ireland,navitas semi,0,0,,1,Navitas Semiconductor,,
Pixelworks,United States,pixelworks,0,0,,1,Pixelworks,,
Transphorm,United States,transphorm,0,0,,1,Transphorm,,
Aehr Test Systems,United States,aehr test systems,0,0,,1,Aehr Test Systems,,
Everspin Technologies,United States,everspin tech,0,0,,1,Everspin Technologies,,
BrainChip,Australia,brainchip,0,0,,1,BrainChip,,
POET Technologies,Canada,poet tech,0,0,,1,POET Technologies,,
Quicklogic,United States,quicklogic,0,0,,1,Quicklogic,,
Atomera,United States,atomera,0,0,,1,Atomera,,
Global Unichip Corp.,Taiwan,global unichip,0,0,,1,Global Unichip Corp.,,
WIN Semiconductors,Taiwan,win semi,0,0,,1,WIN Semiconductors,,
Nanya Technology,Taiwan,\bnanya\b tech,0,0,,1,Nanya Technology,,
GlobalWafers,Taiwan,globalwafers,0,0,,1,GlobalWafers,,
ChipMOS Technologies,Taiwan,chipmos,0,0,,1,ChipMOS Technologies,,
Vanguard International Semiconductor,Taiwan,vanguard international semi,0,0,,1,Vanguard International Semiconductor,,
Alchip Technologies,Taiwan,alchip tech,0,0,,1,Alchip Technologies,,
Sino-American Silicon Products,Taiwan,sino-american silicon,0,0,,1,Sino-American Silicon Products,,
Silergy,China,silergy,0,0,,1,Silergy,,
Novatek Microelectronics,Taiwan,\bnovatek\b,0,0,,1,Novatek Microelectronics,,
Formosa Sumco Technology,Taiwan,formosa sumco,0,0,,1,Formosa Sumco Technology,,
Powerchip Semiconductor Manufacturing,Taiwan,powerchip,0,0,,1,Powerchip Semiconductor Manufacturing,,
Realtek,Taiwan,realtek semi,0,0,,1,Realtek,,
Astera Labs,United States,astera labs,0,0,,1,Astera Labs,,
